date,sector,close
2025-04-01,NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,13678.2
2025-04-01,NIFTY EV & NEW AGE AUTOMOTIVE,2653.0
2025-04-01,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,15891.85
2025-04-01,NIFTY INDIA TOURISM,8604.25
2025-04-01,NIFTY MIDSMALLCAP 400,17534.1
2025-04-01,NIFTY IPO,1818.35
2025-04-01,NIFTY INDIA INTERNET & E-COMMERCE,1130.06
2025-04-01,NIFTY CHEMICALS,27745.21
2025-04-01,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,43516.8
2025-04-01,NIFTY ALPHA LOW-VOLATILITY 30,24824.45
2025-04-01,NIFTY500 MULTIFACTOR MQVLV 50,28278.55
2025-04-01,NIFTY100 LOW VOLATILITY 30,18575.3
2025-04-01,NIFTY QUALITY LOW-VOLATILITY 30,16025.1
2025-04-01,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,20551.45
2025-04-01,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,18896.4
2025-04-01,NIFTY200 QUALITY 30,18951.1
2025-04-01,NIFTY MIDCAP150 QUALITY 50,21695.2
2025-04-01,NIFTY200 MOMENTUM 30,27655.55
2025-04-01,NIFTY INDIA MANUFACTURING,12968.25
2025-04-01,NIFTY100 ESG SECTOR LEADERS,3851.85
2025-04-01,NIFTY200 ALPHA 30,22062.2
2025-04-01,NIFTY MIDCAP150 MOMENTUM 50,54653.9
2025-04-01,NIFTY SMALLCAP250 QUALITY 50,23974.8
2025-04-01,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,41687.3
2025-04-01,NIFTY 8-13 YR G-SEC,2847.19
2025-04-01,NIFTY 4-8 YR G-SEC INDEX,3069.8
2025-04-01,NIFTY 11-15 YR G-SEC INDEX,3162.26
2025-04-01,NIFTY 15 YR AND ABOVE G-SEC INDEX,3481.46
2025-04-01,NIFTY COMPOSITE G-SEC INDEX,2948.34
2025-04-01,NIFTY 10 YR BENCHMARK G-SEC,2517.71
2025-04-01,NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),901.28
2025-04-01,NIFTY BHARAT BOND INDEX - APRIL 2030,1485.83
2025-04-01,NIFTY BHARAT BOND INDEX - APRIL 2025,1312.99
2025-04-01,NIFTY BHARAT BOND INDEX - APRIL 2031,1356.54
2025-04-01,NIFTY BHARAT BOND INDEX - APRIL 2032,1238.53
2025-04-01,NIFTY BHARAT BOND INDEX - APRIL 2033,1205.73
2025-04-01,NIFTY 1D RATE INDEX,2410.98
2025-04-01,NIFTY50 USD,9391.22
2026-04-01,NIFTY NEXT 50,61912.75
2026-04-01,NIFTY 100,23272.75
2026-04-01,NIFTY 200,12720.35
2026-04-01,NIFTY MIDCAP 50,15295.45
2026-04-01,NIFTY MIDCAP 100,53819.15
2026-04-01,NIFTY SMALLCAP 100,15709.8
2026-04-01,NIFTY50 DIVIDEND POINTS,0.0
2026-04-01,NIFTY AUTO,24238.85
2026-04-01,NIFTY BANK,51448.65
2026-04-01,NIFTY ENERGY,35402.85
2026-04-01,NIFTY FINANCIAL SERVICES,23981.8
2026-04-01,NIFTY FMCG,46135.95
2026-04-01,NIFTY IT,29669.05
2026-04-01,NIFTY MEDIA,1308.4
2026-04-01,NIFTY METAL,11412.05
2026-04-01,NIFTY MNC,28270.65
2026-04-01,NIFTY PHARMA,22011.6
2026-04-01,NIFTY PSU BANK,8164.8
2026-04-01,NIFTY REALTY,665.0
2026-04-01,NIFTY INDIA CONSUMPTION,10545.05
2026-04-01,NIFTY COMMODITIES,9256.75
2026-04-01,NIFTY DIVIDEND OPPORTUNITIES 50,5747.2
2026-04-01,NIFTY INFRASTRUCTURE,8669.1
2026-04-01,NIFTY PSE,9699.8
2026-04-01,NIFTY SERVICES SECTOR,28824.4
2026-04-01,NIFTY50 SHARIAH,4162.55
2026-04-01,NIFTY500 SHARIAH,6319.0
2026-04-01,NIFTY LOW VOLATILITY 50,22793.9
2026-04-01,NIFTY ALPHA 50,45779.85
2026-04-01,NIFTY HIGH BETA 50,3456.75
2026-04-01,NIFTY100 EQUAL WEIGHT,30422.35
2026-04-01,NIFTY100 LIQUID 15,6753.5
2026-04-01,NIFTY CPSE,6963.9
2026-04-01,NIFTY50 VALUE 20,11739.85
2026-04-01,NIFTY MIDCAP LIQUID 15,14170.65
2026-04-01,NIFTY SHARIAH 25,7341.65
2026-04-01,NIFTY GROWTH SECTORS 15,10547.7
2026-04-01,NIFTY50 TR 1X INVERSE,189.15
2026-04-01,NIFTY50 TR 2X LEVERAGE,16261.4
2026-04-01,NIFTY50 PR 1X INVERSE,231.4
2026-04-01,NIFTY50 PR 2X LEVERAGE,10841.9
2026-04-01,NIFTY100 QUALITY 30,5133.85
2026-04-01,NIFTY200 MOMENTUM 30,27768.75
2026-04-01,NIFTY INDIA MANUFACTURING,14255.9
2026-04-01,NIFTY100 ESG SECTOR LEADERS,3765.4
2026-04-01,NIFTY200 ALPHA 30,22672.0
2026-04-01,NIFTY MIDCAP150 MOMENTUM 50,55787.2
2026-04-01,NIFTY SMALLCAP250 QUALITY 50,22445.1
2026-04-01,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,39001.35
2026-04-01,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,44065.45
2026-04-01,NIFTY500 MOMENTUM 50,47238.1
2026-04-01,NIFTY200 VALUE 30,14316.65
2026-04-01,NIFTY TOP 10 EQUAL WEIGHT,8325.45
2026-04-01,NIFTY500 MULTICAP MOMENTUM QUALITY 50,37625.1
2026-04-01,NIFTY TOP 15 EQUAL WEIGHT,9289.6
2026-04-01,NIFTY TOP 20 EQUAL WEIGHT,8283.6
2026-04-01,NIFTY500 QUALITY 50,17350.05
2026-04-01,NIFTY500 LOW VOLATILITY 50,20744.8
2026-04-01,NIFTY100 ESG,4525.25
2026-04-01,NIFTY100 ENHANCED ESG,4557.9
2026-04-01,NIFTY500 VALUE 50,15219.95
2026-04-01,NIFTY100 ALPHA 30,16194.3
2026-04-01,NIFTY500 MULTIFACTOR MQVLV 50,29018.1
