date,close
2025-04-16,15.87
2025-04-17,15.47
2025-04-21,15.52
2025-04-22,15.23
2025-04-23,15.96
2025-04-24,16.25
2025-04-25,17.16
2025-04-28,16.94
2025-04-29,17.37
2025-04-30,18.22
2025-05-02,18.26
2025-05-05,18.34
2025-05-06,19.0
2025-05-07,19.06
2025-05-08,21.01
2025-05-09,21.63
2025-05-12,18.39
2025-05-13,18.2
2025-05-14,17.23
2025-05-15,16.89
2025-05-16,16.55
2025-05-19,17.36
2025-05-20,17.39
2025-05-21,17.55
2025-05-22,17.26
2025-05-23,17.28
2025-05-26,18.02
2025-05-27,18.54
2025-05-28,18.02
2025-05-29,16.42
2025-05-30,16.08
2025-06-02,17.16
2025-06-03,16.56
2025-06-04,15.75
2025-06-05,15.08
2025-06-06,14.63
2025-06-09,14.69
2025-06-10,14.02
2025-06-11,13.67
2025-06-12,14.02
2025-06-13,15.08
2025-06-16,14.84
2025-06-17,14.4
2025-06-18,14.28
2025-06-19,14.26
2025-06-20,13.67
2025-06-23,14.05
2025-06-24,13.64
2025-06-25,12.96
2025-06-26,12.59
2025-06-27,12.39
2025-06-30,12.79
2025-07-01,12.53
2025-07-02,12.45
2025-07-03,12.39
2025-07-04,12.32
2025-07-07,12.56
2025-07-08,12.2
2025-07-09,11.94
2025-07-10,11.67
2025-07-11,11.82
2025-07-14,11.98
2025-07-15,11.48
2025-07-16,11.24
2025-07-17,11.24
2025-07-18,11.39
2025-07-21,11.2
2025-07-22,10.75
2025-07-23,10.52
2025-07-24,10.72
2025-07-25,11.28
2025-07-28,12.06
2025-07-29,11.53
2025-07-30,11.21
2025-07-31,11.54
2025-08-01,11.98
2025-08-04,11.97
2025-08-05,11.71
2025-08-06,11.96
2025-08-07,11.69
2025-08-08,12.03
2025-08-11,12.22
2025-08-12,12.23
2025-08-13,12.14
2025-08-14,12.36
2025-08-18,12.34
2025-08-19,11.79
2025-08-20,11.79
2025-08-21,11.37
2025-08-22,11.73
2025-08-25,11.76
2025-08-26,12.19
2025-08-28,12.18
2025-08-29,11.75
2025-09-01,11.29
2025-09-02,11.4
2025-09-03,10.93
2025-09-04,10.85
2025-09-05,10.78
2025-09-08,10.84
2025-09-09,10.69
2025-09-10,10.54
2025-09-11,10.36
2025-09-12,10.12
2025-09-15,10.4
2025-09-16,10.27
2025-09-17,10.25
2025-09-18,9.89
2025-09-19,9.97
2025-09-22,10.56
2025-09-23,10.63
2025-09-24,10.52
